author,year,covidence_id,hyperactive,hypoactive,mixed,nosubtype,combo_hypomix,combo_hypermix,factor_category,factor,factor_details,test_used,test_subscale,data_type,direction,cont_units,test_cutoff,cutoff_notes,categorical_notes,N_with_condition,N_without_condition,percentage_with_condition,N_total,N_notes,average_type,average,variance_type,variance,range_type,range_ll,range_ul
Gual,2018,72,,1,,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,17,,,91,,,,,,,,
Gual,2018,72,,1,,,,,comorbidity,cerebrovascular disease,,,,cat,,,presence,,,31,,,91,,,,,,,,
Hayhurst,2020,2418,,1,,,,,,age,,,,cont,,years,,,,,,,411,,median,62,,,IQR,52,70
Hayhurst,2020,2418,,1,,,,,,sex,,,,cat,,,male,,,57,,,411,,,,,,,,
Hayhurst,2020,2418,,1,,,,,race,caucasian,,,,cat,,,presence,,,89,,,411,,,,,,,,
Hayhurst,2020,2418,,1,,,,,race,african american,,,,cat,,,presence,,,11,,,411,,,,,,,,
Hayhurst,2020,2418,,1,,,,,race,other race,,,,cat,,,presence,,,2,,,411,,,,,,,,
Hayhurst,2020,2418,,1,,,,,,education,,,,cont,,years,,,,,,,411,,median,12,,,IQR,12,14
Hayhurst,2020,2418,,1,,,,,,frailty,,Canadian Study of Health and Aging Frailty Index,,cat,,,frail,,,22,,,411,,,,,,,,
Hayhurst,2020,2418,,1,,,,,risk score,APACHE,at ICU admission,Acute Physiology and Chronic Health Evaluation II,,cont,,score,,,,,,,411,,median,25,,,IQR,19,30
Hayhurst,2020,2418,,1,,,,,,cognition,at enrollment,Informant Questionnaire On Cognitive Decline in the Elderly,,cont,,score,,,,,,,411,,median,3,,,IQR,3,3.12
Hayhurst,2020,2418,,1,,,,,comorbidity,charlson,,Charlson score,,cont,,score,,,,,,,411,,median,2,,,IQR,1,4
Hayhurst,2020,2418,1,,,,,,,age,,,,cont,,years,,,,,,,100,,median,63,,,IQR,52,71
Hayhurst,2020,2418,1,,,,,,,sex,,,,cat,,,male,,,72,,,100,,,,,,,,
Hayhurst,2020,2418,1,,,,,,race,caucasian,,,,cat,,,presence,,,95,,,100,,,,,,,,
Hayhurst,2020,2418,1,,,,,,race,african america,,,,cat,,,presence,,,5,,,100,,,,,,,,
Hayhurst,2020,2418,1,,,,,,race,other race,,,,cat,,,presence,,,0,,,100,,,,,,,,
Hayhurst,2020,2418,1,,,,,,,education,,,,cont,,years,,,,,,,100,,median,12,,,IQR,12,14
Hayhurst,2020,2418,1,,,,,,,frailty,,Canadian Study of Health and Aging Frailty Index,,cat,,,frail,,,15,,,100,,,,,,,,
Hayhurst,2020,2418,1,,,,,,risk score,APACHE,at ICU admission,Acute Physiology and Chronic Health Evaluation II,,cont,,score,,,,,,,100,,median,22.5,,,IQR,18.8,28
Hayhurst,2020,2418,1,,,,,,,cognition,at enrollment,Informant Questionnaire On Cognitive Decline in the Elderly,,cont,,score,,,,,,,100,,median,3,,,IQR,3,3.19
Hayhurst,2020,2418,1,,,,,,comorbidity,charlson,,Charlson score,,cont,,score,,,,,,,100,,median,2,,,IQR,1,4
Heymann,2007,2381,1,,,,,,,sex,,,,cat,,,male,,,31,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,,age,,,,cont,,years,,,,,,,55,,median,64,IQR,22,,,
Heymann,2007,2381,1,,,,,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,6,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,comorbidity,arterial hypertension,,,,cat,,,presence,,,28,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,comorbidity,carcinoma,,,,cat,,,presence,,,23,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,comorbidity,alcohol or drug abuse,,,,cat,,,presence,,,12,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,comorbidity,liver failure,,,,cat,,,presence,,,1,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,comorbidity,renal failure,,,,cat,,,presence,,,2,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,comorbidity,heart failure,,,,cat,,,presence,,,2,,,55,,,,,,,,
Heymann,2007,2381,1,,,,,,comorbidity,thyroid dysfunction,,,,cat,,,presence,,,1,,,55,,,,,,,,
Heymann,2007,2381,,,,,1,,,sex,,,,cat,,,male,,,83,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,,age,,,,cont,,years,,,,,,,141,,median,60,IQR,23,,,
Heymann,2007,2381,,,,,1,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,10,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,comorbidity,arterial hypertension,,,,cat,,,presence,,,30,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,comorbidity,carcinoma,,,,cat,,,presence,,,41,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,comorbidity,alcohol or drug abuse,,,,cat,,,presence,,,7,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,comorbidity,liver failure,,,,cat,,,presence,,,1,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,comorbidity,renal failure,,,,cat,,,presence,,,4,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,comorbidity,heart failure,,,,cat,,,presence,,,12,,,141,,,,,,,,
Heymann,2007,2381,,,,,1,,comorbidity,thyroid dysfunction,,,,cat,,,presence,,,2,,,141,,,,,,,,
Horacek,2016,2254,1,,,,,,,age,,,,cont,,years,,,,,,,54,,mean,65.44,SD,11.77,,,
Horacek,2016,2254,,1,,,,,,age,,,,cont,,years,,,,,,,27,,mean,69.3,SD,15.31,,,
Horacek,2016,2254,,,1,,,,,age,,,,cont,,years,,,,,,,59,,mean,70.25,SD,10.28,,,
Hughes,2021,2218,1,,,,,,,age,,,,cont,,years,,,,,,,185,,median,64,,,IQR,55,74
Hughes,2021,2218,1,,,,,,,sex,,,,cat,,,male,,,,,73,185,,,,,,,,
Hughes,2021,2218,1,,,,,,,education,,,,cont,,years,,,,,,,185,,median,12,,,IQR,12,14
Hughes,2021,2218,1,,,,,,,socioeconomic,,AHRQ Socioeconomic (AHRQ SES) Index,,cont,,score,,,,,,,185,,median,50,,,IQR,47,53
Hughes,2021,2218,1,,,,,,comorbidity,charlson,,Charlson comrbidity index,,cont,,score,,,,,,,185,,median,2,,,IQR,1,4
Hughes,2021,2218,1,,,,,,risk score,framingham stroke risk,,Framingham stroke risk,,cont,,score,,,,,,,185,,median,10,,,IQR,7,15
Hughes,2021,2218,,1,,,,,,age,,,,cont,,years,,,,,,,733,,median,63,,,IQR,54,72
Hughes,2021,2218,,1,,,,,,sex,,,,cat,,,male,,,,,59,733,,,,,,,,
Hughes,2021,2218,,1,,,,,,education,,,,cont,,years,,,,,,,733,,median,12,,,IQR,12,14
Hughes,2021,2218,,1,,,,,,socioeconomic,,AHRQ Socioeconomic (AHRQ SES) Index,,cont,,score,,,,,,,733,,median,50,,,IQR,47,53
Hughes,2021,2218,,1,,,,,comorbidity,charlson,,Charlson comrbidity index,,cont,,score,,,,,,,733,,median,2,,,IQR,1,4
Hughes,2021,2218,,1,,,,,risk score,framingham stroke risk,,Framingham stroke risk,,cont,,score,,,,,,,733,,median,10,,,IQR,6,15
Jackson,2017,1593,,,,,,1,,age,,,,cont,,years,,,,,,,21,,mean,85.5,SD,5.6,,,
Jackson,2017,1593,,,,,,1,,sex,,,,cat,,,female,,,11,,,21,,,,,,,,
Jackson,2017,1593,,,,,,1,comorbidity,dementia,,IQCODE>3.82,,cat,,,presence,,,11,,,21,,,,,,,,
Jackson,2017,1593,,,,,,1,medicine,total number of drugs,,,,cont,,number,,,,,,,21,,median,8,IQR,4,,,
Jackson,2017,1593,,,,,,1,medicine,anticholinergic drugs scale,,ADS - based on recorded pre-admission drugs,,cont,,score,,,,,,,21,,median,1,IQR,3,,,
Jackson,2017,1593,,1,,,,,,age,,,,cont,,years,,,,,,,34,,mean,85.7,SD,6.6,,,
Jackson,2017,1593,,1,,,,,,sex,,,,cat,,,female,,,23,,,34,,,,,,,,
Jackson,2017,1593,,1,,,,,comorbidity,dementia,,IQCODE>3.82,,cat,,,,,,21,,,34,,,,,,,,
Jackson,2017,1593,,1,,,,,medicine,total number of drugs,,,,cont,,number,,,,,,,34,,median,7.5,IQR,6,,,
Jackson,2017,1593,,1,,,,,medicine,anticholinergic drugs scale,,ADS - based on recorded pre-admission drugs,,cont,,score,,,,,,,34,,median,1,IQR,2,,,
Khurana,2011,2152,,1,,,,,,sex,,,,cat,,,male,,,143,,,259,,,,,,,,
Khurana,2011,2152,1,,,,,,,sex,,,,cat,,,male,,,54,,,102,,,,,,,,
Khurana,2011,2152,,,1,,,,,sex,,,,cat,,,male,,,27,,,39,,,,,,,,
Kim,2018,2139,1,,,,,,,age,,,,cont,,years,,,,,,,144,,mean,69.9,SD,10.5,,,
Kim,2018,2139,1,,,,,,,sex,,,,cat,,,female,,,34,,,144,,,,,,,,
Kim,2018,2139,1,,,,,,,education,,,,cont,,years,,,,,,,144,,mean,7.7,SD,4.3,,,
Kim,2018,2139,1,,,,,,,functional status,0 (fully active) to 4 (completely disabled) - used to determine physical status of each patient,Eastern Cooperative Oncology Group performance status (ECOG-PS),,cont,negative,score,,,,,,,144,,mean,2.7,SD,0.9,,,
Kim,2018,2139,,1,,,,,,age,,,,cont,,years,,,,,,,25,,mean,70,SD,11.5,,,
Kim,2018,2139,,1,,,,,,sex,,,,cat,,,female,,,14,,,25,,,,,,,,
Kim,2018,2139,,1,,,,,,education,,,,cont,,years,,,,,,,25,,mean,7.4,SD,4.6,,,
Kim,2018,2139,,1,,,,,,functional status,0 (fully active) to 4 (completely disabled) - used to determine physical status of each patient,Eastern Cooperative Oncology Group performance status (ECOG-PS),,cont,negative,score,,,,,,,25,,mean,2.6,SD,0.9,,,
Kim,2018,2139,,,1,,,,,age,,,,cont,,years,,,,,,,33,,mean,69.8,SD,8.5,,,
Kim,2018,2139,,,1,,,,,sex,,,,cat,,,female,,,8,,,33,,,,,,,,
Kim,2018,2139,,,1,,,,,education,,,,cont,,years,,,,,,,33,,mean,8.1,SD,3.6,,,
Kim,2018,2139,,,1,,,,,functional status,0 (fully active) to 4 (completely disabled) - used to determine physical status of each patient,Eastern Cooperative Oncology Group performance status (ECOG-PS),,cont,negative,score,,,,,,,33,,mean,2.7,SD,0.9,,,
Kim,2018,2139,,,,1,,,,age,,,,cont,,years,,,,,,,22,,mean,64,SD,12.5,,,
Kim,2018,2139,,,,1,,,,sex,,,,cat,,,female,,,12,,,22,,,,,,,,
Kim,2018,2139,,,,1,,,,education,,,,cont,,years,,,,,,,22,,mean,8.4,SD,4.7,,,
Kim,2018,2139,,,,1,,,,functional status,0 (fully active) to 4 (completely disabled) - used to determine physical status of each patient,Eastern Cooperative Oncology Group performance status (ECOG-PS),,cont,negative,score,,,,,,,22,,mean,2.4,SD,0.9,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cont,,years,,,,,,,83,,mean,75,SD,9.6,,,
Kobayashi,1992,2103,1,,,,,,,sex,,,,cat,,,male,,,51,,,83,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cont,,years,,,,,,,7,,mean,75.7,SD,3.5,,,
Kobayashi,1992,2103,,1,,,,,,sex,,,,cat,,,male,,,4,,,7,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cont,,years,,,,,,,16,,mean,71.8,SD,10.2,,,
Kobayashi,1992,2103,,,1,,,,,sex,,,,cat,,,male,,,8,,,16,,,,,,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cat,,,40s,,,1,,,83,,,,,,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cat,,,50s,,,5,,,83,,,,,,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cat,,,60s,,,12,,,83,,,,,,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cat,,,70s,,,35,,,83,,,,,,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cat,,,80s,,,28,,,83,,,,,,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cat,,,90s,,,2,,,83,,,,,,,,
Kobayashi,1992,2103,1,,,,,,,age,,,,cat,,,>80,,,30,,,83,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cat,,,40s,,,1,,,16,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cat,,,50s,,,1,,,16,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cat,,,60s,,,0,,,16,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cat,,,70s,,,14,,,16,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cat,,,80s,,,0,,,16,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cat,,,90s,,,0,,,16,,,,,,,,
Kobayashi,1992,2103,,,1,,,,,age,,,,cat,,,>80,,,0,,,16,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cat,,,40s,,,0,,,7,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cat,,,50s,,,0,,,7,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cat,,,60s,,,0,,,7,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cat,,,70s,,,6,,,7,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cat,,,80s,,,1,,,7,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cat,,,90s,,,0,,,7,,,,,,,,
Kobayashi,1992,2103,,1,,,,,,age,,,,cat,,,>80,,,1,,,7,,,,,,,,
Kumar,2015,1994,1,,,,,,,age,,,,cont,,years,,,,,,,56,,mean,33.42,SD,7.37,,,
Kumar,2015,1994,,1,,,,,,age,,,,cont,,years,,,,,,,24,,mean,34.62,SD,6.64,,,
Kumar,2015,1994,1,,,,,,,alcohol or drug abuse,,alcohol or other substance use disorder,,cat,,,presence,,,38,,,56,,,,,,,,
O'Keeffe,1999,1783,,1,,,,,,age,,,,cont,,years,,,,,,,27,,mean,83,SD,5,,,
O'Keeffe,1999,1783,,1,,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,mild,,,3,,,27,,,,,,,,
O'Keeffe,1999,1783,,1,,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,moderate,,,7,,,27,,,,,,,,
O'Keeffe,1999,1783,,1,,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,severe,,,17,,,27,,,,,,,,
O'Keeffe,1999,1783,1,,,,,,,age,,,,cont,,years,,,,,,,20,,mean,82,SD,4,,,
O'Keeffe,1999,1783,1,,,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,mild,,,4,,,20,,,,,,,,
O'Keeffe,1999,1783,1,,,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,moderate,,,10,,,20,,,,,,,,
O'Keeffe,1999,1783,1,,,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,severe,,,6,,,20,,,,,,,,
O'Keeffe,1999,1783,,,1,,,,,age,,,,cont,,years,,,,,,,40,,mean,82,SD,4,,,
O'Keeffe,1999,1783,,,1,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,mild,,,6,,,40,,,,,,,,
O'Keeffe,1999,1783,,,1,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,moderate,,,16,,,40,,,,,,,,
O'Keeffe,1999,1783,,,1,,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,severe,,,18,,,40,,,,,,,,
O'Keeffe,1999,1783,,,,1,,,,age,,,,cont,,years,,,,,,,7,,mean,84,SD,7,,,
O'Keeffe,1999,1783,,,,1,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,mild,,,4,,,7,,,,,,,,
O'Keeffe,1999,1783,,,,1,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,moderate,,,2,,,7,,,,,,,,
O'Keeffe,1999,1783,,,,1,,,,illness severity,"subjective rating of overall illness severity as mild, mod or severe was made on initial admission by the study physician",,,cat,,,severe,,,1,,,7,,,,,,,,
Lee,2018,1929,1,,,,,,,age,,,,cont,,years,,,,,,,24,,median,65,,,IQR,56.5,73.3
Lee,2018,1929,1,,,,,,,sex,,,,cat,,,male,,,15,,,24,,,,,,,,
Lee,2018,1929,1,,,,,,risk score?,american society,,"ASA-PS, American Society of Anesthesiologists’ Physical Status classification system",,cat,,,>=III,,,18,,,24,,,,,,,,
Lee,2018,1929,1,,,,,,risk score?,euroscore,,logistic EuroSCORE,,cont,,%,,,,,,,24,,median,10.9,,,IQR,3.8,38.2
Lee,2018,1929,1,,,,,,risk score?,APACHE,,APACHE-II,,cont,,score,,,,,,,24,,median,16,,,IQR,12,20
Lee,2018,1929,1,,,,,,risk score,pre deliric,,"PRE-DELIRIC, PREdiction of DELIRium in ICu patients",,cont,,score,,,,,,,24,,median,17,,,IQR,9,33
Lee,2018,1929,,1,,,,,,age,,,,cont,,years,,,,,,,26,,median,67,,,IQR,57.8,76
Lee,2018,1929,,1,,,,,,sex,,,,cat,,,male,,,15,,,26,,,,,,,,
Lee,2018,1929,,1,,,,,risk score?,american society,,"ASA-PS, American Society of Anesthesiologists’ Physical Status classification system",,cat,,,>=III,,,20,,,26,,,,,,,,
Lee,2018,1929,,1,,,,,risk score?,euroscore,,logistic EuroSCORE,,cont,,%,,,,,,,26,,median,5.9,,,IQR,3.4,11.9
Lee,2018,1929,,1,,,,,risk score?,APACHE,,APACHE-II,,cont,,score,,,,,,,26,,median,15.5,,,IQR,12,19.3
Lee,2018,1929,,1,,,,,risk score,pre deliric,,"PRE-DELIRIC, PREdiction of DELIRium in ICu patients",,cont,,score,,,,,,,26,,median,17,,,IQR,10,24
Lee,2018,1929,,,1,,,,,age,,,,cont,,years,,,,,,,33,,median,63,,,IQR,51,69.5
Lee,2018,1929,,,1,,,,,sex,,,,cat,,,male,,,25,,,33,,,,,,,,
Lee,2018,1929,,,1,,,,risk score?,american society,,"ASA-PS, American Society of Anesthesiologists’ Physical Status classification system",,cat,,,>=III,,,29,,,33,,,,,,,,
Lee,2018,1929,,,1,,,,risk score?,euroscore,,logistic EuroSCORE,,cont,,%,,,,,,,33,,median,19.1,,,IQR,10.3,28.8
Lee,2018,1929,,,1,,,,risk score?,APACHE,,APACHE-II,,cont,,score,,,,,,,33,,median,17,,,IQR,14,20
Lee,2018,1929,,,1,,,,risk score,pre deliric,,"PRE-DELIRIC, PREdiction of DELIRium in ICu patients",,cont,,score,,,,,,,33,,median,22,,,IQR,14,48
Leonard,2011,2350,1,,,,,,,age,,,,cont,,years,,,,,,,18,,mean,66.5,SD,9,,,
Leonard,2011,2350,1,,,,,,,sex,,,,cat,,,male,,,10,,,17,,,,,,,,
Leonard,2011,2350,1,,,,,,comorbidity,dementia,,noted by history or investigation,,cat,,,presence,,,3,,,17,,,,,,,,
Leonard,2011,2350,1,,,,,,medicine,N medications,,All medication prescribed for the patient during the previous 24-hour period of study was noted,,cont,,number,,,,,,,17,,mean,8.6,SD,3,,,
Leonard,2011,2350,,,1,,,,,age,,,,cont,,years,,,,,,,26,,mean,67.6,SD,12.5,,,
Leonard,2011,2350,,,1,,,,,sex,,,,cat,,,male,,,17,,,26,,,,,,,,
Leonard,2011,2350,,,1,,,,comorbidity,dementia,,noted by history or investigation,,cat,,,presence,,,6,,,26,,,,,,,,
Leonard,2011,2350,,,1,,,,medicine,N medications,,All medication prescribed for the patient during the previous 24-hour period of study was noted,,cont,,number,,,,,,,26,,mean,10.5,SD,3.8,,,
Leonard,2011,2350,,1,,,,,,age,,,,cont,,years,,,,,,,33,,mean,71.6,SD,10,,,
Leonard,2011,2350,,1,,,,,,sex,,,,cat,,,male,,,13,,,33,,,,,,,,
Leonard,2011,2350,,1,,,,,comorbidity,dementia,,noted by history or investigation,,cat,,,presence,,,8,,,33,,,,,,,,
Leonard,2011,2350,,1,,,,,medicine,N medications,,All medication prescribed for the patient during the previous 24-hour period of study was noted,,cont,,number,,,,,,,33,,mean,10.7,SD,4.2,,,
Leonard,2011,2350,,,,1,,,,age,,,,cont,,years,,,,,,,23,,mean,73.9,SD,8.6,,,
Leonard,2011,2350,,,,1,,,,sex,,,,cat,,,male,,,10,,,23,,,,,,,,
Leonard,2011,2350,,,,1,,,comorbidity,dementia,,noted by history or investigation,,cat,,,presence,,,5,,,17,,,,,,,,
Leonard,2011,2350,,,,1,,,medicine,N medications,,All medication prescribed for the patient during the previous 24-hour period of study was noted,,cont,,number,,,,,,,23,,mean,10.6,SD,3.5,,,
Liptzin,1992,2302,1,,,,,,,sex,,,,cat,,,male,,,,,26.3,19,,,,,,,,
Liptzin,1992,2302,1,,,,,,residential status,longterm care facility,,,,cat,,,presence,,,,,57.9,19,,,,,,,,
Liptzin,1992,2302,1,,,,,,comorbidity,dementia,,,,cat,,,presence,,,,,47.4,19,,,,,,,,
Liptzin,1992,2302,,1,,,,,,sex,,,,cat,,,male,,,,,25,24,,,,,,,,
Liptzin,1992,2302,,1,,,,,residential status,longterm care facility,,,,cat,,,presence,,,,,62.5,24,,,,,,,,
Liptzin,1992,2302,,1,,,,,comorbidity,dementia,,,,cat,,,presence,,,,,41.7,24,,,,,,,,
Liptzin,1992,2302,,,1,,,,,sex,,,,cat,,,male,,,,,41.5,65,,,,,,,,
Liptzin,1992,2302,,,1,,,,residential status,longterm care facility,,,,cat,,,presence,,,,,58.5,65,,,,,,,,
Liptzin,1992,2302,,,1,,,,comorbidity,dementia,,,,cat,,,presence,,,,,50.8,65,,,,,,,,
Liptzin,1992,2302,,,,1,,,,sex,,,,cat,,,male,,,,,52.9,17,,,,,,,,
Liptzin,1992,2302,,,,1,,,residential status,longterm care facility,,,,cat,,,presence,,,,,58.8,17,,,,,,,,
Liptzin,1992,2302,,,,1,,,comorbidity,dementia,,,,cat,,,presence,,,,,35.3,17,,,,,,,,
Lixouriotis,2011,1914,1,,,,,,,sex,,,,cat,,,male,,,3,,,6,,,,,,,,
Lixouriotis,2011,1914,1,,,,,,,age,,,,cont,,years,,,,,,,6,,mean,74.5,SD,9.5,,,
Lixouriotis,2011,1914,1,,,,,,comorbidity,dementia,,,,cat,,,presence,,,4,,,6,,,,,,,,
Lixouriotis,2011,1914,1,,,,,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,1,,,6,,,,,,,,
Lixouriotis,2011,1914,1,,,,,,comorbidity,coronary artery disease,,,,cat,,,presence,,,1,,,6,,,,,,,,
Lixouriotis,2011,1914,1,,,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,1,,,6,,,,,,,,
Lixouriotis,2011,1914,1,,,,,,comorbidity,arterial hypertension,,,,cat,,,presence,,,1,,,6,,,,,,,,
Lixouriotis,2011,1914,1,,,,,,comorbidity,cerebrovascular disease,,,,cat,,,presence,,,0,,,6,,,,,,,,
Lixouriotis,2011,1914,,1,,,,,,sex,,,,cat,,,male,,,0,,,1,,,,,,,,
Lixouriotis,2011,1914,,1,,,,,,age,,,,cont,,years,,,,,,,1,,mean,82,SD,0,,,
Lixouriotis,2011,1914,,1,,,,,comorbidity,dementia,,,,cat,,,presence,,,1,,,1,,,,,,,,
Lixouriotis,2011,1914,,1,,,,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,0,,,1,,,,,,,,
Lixouriotis,2011,1914,,1,,,,,comorbidity,coronary artery disease,,,,cat,,,presence,,,0,,,1,,,,,,,,
Lixouriotis,2011,1914,,1,,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,0,,,1,,,,,,,,
Lixouriotis,2011,1914,,1,,,,,comorbidity,arterial hypertension,,,,cat,,,presence,,,0,,,1,,,,,,,,
Lixouriotis,2011,1914,,1,,,,,comorbidity,cerebrovascular disease,,,,cat,,,presence,,,0,,,1,,,,,,,,
Lixouriotis,2011,1914,,,1,,,,,sex,,,,cat,,,male,,,2,,,2,,,,,,,,
Lixouriotis,2011,1914,,,1,,,,,age,,,,cont,,years,,,,,,,2,,mean,79,SD,1.4,,,
Lixouriotis,2011,1914,,,1,,,,comorbidity,dementia,,,,cat,,,presence,,,1,,,2,,,,,,,,
Lixouriotis,2011,1914,,,1,,,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,1,,,2,,,,,,,,
Lixouriotis,2011,1914,,,1,,,,comorbidity,coronary artery disease,,,,cat,,,presence,,,0,,,2,,,,,,,,
Lixouriotis,2011,1914,,,1,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,0,,,2,,,,,,,,
Lixouriotis,2011,1914,,,1,,,,comorbidity,arterial hypertension,,,,cat,,,presence,,,1,,,2,,,,,,,,
Lixouriotis,2011,1914,,,1,,,,comorbidity,cerebrovascular disease,,,,cat,,,presence,,,1,,,2,,,,,,,,
Lundstrom,2012,384,1,,,,,,comorbidity,dementia,,"Dementia diagnoses were based upon former dementia diagnoses according to medical records. In addition, participants with low MMSE scores and an OBS assessment not indicating delirium were also diagnosed to have dementia. To validate the dementia diagnosis the test results of MMSE and OBS at 4 and 12 months after operation were considered and only those with low scores on MMSE at baseline and with a progressive cognitive decline were diagnosed to have dementia, by a specialist in geriatric medicine.",,cat,,,presence,,,27,,,56,,,,,,,,
Lundstrom,2012,384,,1,,,,,comorbidity,dementia,,"Dementia diagnoses were based upon former dementia diagnoses according to medical records. In addition, participants with low MMSE scores and an OBS assessment not indicating delirium were also diagnosed to have dementia. To validate the dementia diagnosis the test results of MMSE and OBS at 4 and 12 months after operation were considered and only those with low scores on MMSE at baseline and with a progressive cognitive decline were diagnosed to have dementia, by a specialist in geriatric medicine.",,cat,,,presence,,,12,,,43,,,,,,,,
Lundstrom,2012,384,,,1,,,,comorbidity,dementia,,"Dementia diagnoses were based upon former dementia diagnoses according to medical records. In addition, participants with low MMSE scores and an OBS assessment not indicating delirium were also diagnosed to have dementia. To validate the dementia diagnosis the test results of MMSE and OBS at 4 and 12 months after operation were considered and only those with low scores on MMSE at baseline and with a progressive cognitive decline were diagnosed to have dementia, by a specialist in geriatric medicine.",,cat,,,presence,,,14,,,28,,,,,,,,
Lundstrom,2012,384,,,,1,,,comorbidity,dementia,,"Dementia diagnoses were based upon former dementia diagnoses according to medical records. In addition, participants with low MMSE scores and an OBS assessment not indicating delirium were also diagnosed to have dementia. To validate the dementia diagnosis the test results of MMSE and OBS at 4 and 12 months after operation were considered and only those with low scores on MMSE at baseline and with a progressive cognitive decline were diagnosed to have dementia, by a specialist in geriatric medicine.",,cat,,,presence,,,1,,,2,,,,,,,,
Marcantonio,2002,931,,1,,,,,,age,,,,cat,,,>80,,,19,,,34,,,,,,,,
Marcantonio,2002,931,,1,,,,,,sex,,,,cat,,,male,,,5,,,34,,,,,,,,
Marcantonio,2002,931,,1,,,,,,cognitive impairment,The diagnosis of prefracture cognitive impairment was based on the proxy interview using a Blessed score of 4 or higher (standard cutoff).,Blessed Dementia Scale,,cat,,,presence,,,19,,,34,,,,,,,,
Marcantonio,2002,931,,1,,,,,functional status,ADL impairment,"If the subject was considered cognitively impaired, the assessment of prefracture ADL function and ambulation was also based on the proxy interview; otherwise, it was based on the patient interview. Subjects with ADL scores less than 5 (having impairments in more than one full ADL) were considered to have prefracture ADL impairment.", Katz activities of daily living (ADL) scale,,cat,,,presence,,,10,,,34,,,,,,,,
Marcantonio,2002,931,,1,,,,,comorbidity,four or more,,,,cat,,,presence,,,16,,,34,,,,,,,,
